trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
854,False,"{'a': 0.5, 'e': 0.1371147760367248}",20,5,-18.250665045200336,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
855,False,"{'a': 0.5, 'e': 0.13679422728360863}",25,14,0.5798686473749783,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
856,False,"{'a': 0.5, 'e': 0.1364748012926893}",25,16,18.708133989006377,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
857,False,"{'a': 0.5, 'e': 0.13615649282659517}",20,12,-26.16982323094491,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
858,False,"{'a': 0.5, 'e': 0.1358392966784575}",20,10,18.356215128405477,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
859,False,"{'a': 0.5, 'e': 0.13552320767169773}",25,11,11.490538289782698,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
860,False,"{'a': 0.5, 'e': 0.1352082206598161}",20,10,15.407125069452007,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
861,False,"{'a': 0.5, 'e': 0.1348943305261823}",20,3,16.46740084981174,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
862,False,"{'a': 0.5, 'e': 0.1345815321838276}",30,12,-12.402740147254935,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
863,False,"{'a': 0.5, 'e': 0.13426982057523876}",20,12,15.339789920062499,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
864,False,"{'a': 0.5, 'e': 0.13395919067215362}",20,0,19.065204743054213,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
865,False,"{'a': 0.5, 'e': 0.13364963747535835}",25,14,18.39605331684645,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
866,False,"{'a': 0.5, 'e': 0.13334115601448618}",25,5,24.566447043148372,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
867,False,"{'a': 0.5, 'e': 0.13303374134781804}",35,15,20.140461905275828,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
868,False,"{'a': 0.5, 'e': 0.13272738856208455}",20,0,-1.6881063384325934,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
869,False,"{'a': 0.5, 'e': 0.13242209277226974}",30,20,19.193877666671984,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
870,False,"{'a': 0.5, 'e': 0.13211784912141628}",25,16,16.082157021017096,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
871,False,"{'a': 0.5, 'e': 0.13181465278043236}",20,0,17.980455971404634,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
872,False,"{'a': 0.5, 'e': 0.1315124989479}",20,11,17.491924823349315,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
873,False,"{'a': 0.5, 'e': 0.13121138284988498}",25,13,23.96470343040856,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
874,False,"{'a': 0.5, 'e': 0.13091129973974833}",25,13,14.84757969740299,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
875,False,"{'a': 0.5, 'e': 0.13061224489795917}",20,13,14.074551057507737,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
876,False,"{'a': 0.5, 'e': 0.13031421363190926}",20,16,9.067247624715261,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
877,False,"{'a': 0.5, 'e': 0.13001720127572877}",25,16,18.749257260575444,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
878,False,"{'a': 0.5, 'e': 0.12972120319010383}",20,9,19.269230673921147,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
