trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
285,False,"{'a': 0.1, 'e': 0.057844320874838456}",25,8,-8.449678605421695,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
286,False,"{'a': 0.1, 'e': 0.05726876026546736}",20,16,8.360510527151444,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.1, 'e': 0.0566989265798469}",25,17,7.964695818760537,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.1, 'e': 0.056134762834133725}",30,8,38.465132267779936,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.1, 'e': 0.05557621261148306}",20,10,23.202312315093696,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.1, 'e': 0.05502322005640723}",20,2,14.34527028263039,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
291,False,"{'a': 0.1, 'e': 0.05447572986918986}",25,14,18.706066437168317,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.1, 'e': 0.05393368730035602}",20,10,18.904674941560312,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.1, 'e': 0.053397038145197084}",25,3,41.11596404448867,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.1, 'e': 0.05286572873835037}",25,10,27.28488662824032,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.1, 'e': 0.05233970594843238}",20,6,25.728636691410774,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.1, 'e': 0.05181891717272583}",25,13,24.550613482974168,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.1, 'e': 0.05130331033191911}",20,12,12.946534909083448,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.1, 'e': 0.0507928338648985}",20,0,26.42708250965534,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
299,False,"{'a': 0.1, 'e': 0.050287436723591865}",20,8,24.813861408834104,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
